text,span,label,ordinal,ac,ot
['This is my first time writing a review for a restaurant because the food and service was excellent .'],food,positive,0,food quality,excellent
['This is my first time writing a review for a restaurant because the food and service was excellent .'],service,positive,0,service general,excellent
['The bagel was huge .'],bagel,positive,0,food style_options,huge
['I really like both the scallops and the mahi mahi ( on saffron risotto yum ! ) .'],scallops,positive,0,food quality,like
['I really like both the scallops and the mahi mahi ( on saffron risotto yum ! ) .'],mahi mahi ( on saffron risotto,positive,0,food quality,like
['Service was quick .'],Service,positive,0,service general,quick
"[""it 's a perfect place to have a amazing indian food .""]",indian food,positive,0,food quality,amazing
"['I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .']",eggs benedict,negative,0,food quality,worst
"['The freshest , best variety , and the fastest delivery .']",delivery,positive,0,service general,fastest
"[""Too bad the food was n't of the same heritage .""]",food,negative,0,food quality,bad
"['Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .']",Leon,positive,0,ambience general,casual
"['Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .']",Leon,positive,0,ambience general,hip
"['Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .']",specials,positive,0,food quality,good
"['Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .']",atmosphere,positive,0,ambience general,warm
"['Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .']",atmosphere,positive,0,ambience general,lively
"['Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .']",French bistro fare,positive,0,food quality,well prepared
"['Downtown Dinner 2002 - Prixe fix : Appetizers were ok , waiter gave me poor suggestion ... try the potato stuff kanish best one .']",Appetizers,neutral,0,food quality,ok
"['Downtown Dinner 2002 - Prixe fix : Appetizers were ok , waiter gave me poor suggestion ... try the potato stuff kanish best one .']",waiter,negative,0,service general,poor
"['Downtown Dinner 2002 - Prixe fix : Appetizers were ok , waiter gave me poor suggestion ... try the potato stuff kanish best one .']",potato stuff kanish,positive,0,food quality,try
"['Downtown Dinner 2002 - Prixe fix : Appetizers were ok , waiter gave me poor suggestion ... try the potato stuff kanish best one .']",potato stuff kanish,positive,0,food quality,best
"[""I take all my NYC guests to VT 's .""]",VT 's,positive,0,restaurant miscellaneous,take all my NYC guests
"[""The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .""]",seafood,positive,0,food quality,amazing
"[""The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .""]",wine list,positive,0,drinks style_options,good
"[""The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .""]",menu,positive,0,food style_options,ever-changing
"[""The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .""]",menu,positive,0,food style_options,great surprises
"[""In any event , this is a place I 'll be sure to stop by again when I 'm in this part of town .""]",place,positive,0,restaurant general,stop by again
['They have a huge selection of different cream cheeses and all of their salads are great .'],salads,positive,0,food quality,great
['They have a huge selection of different cream cheeses and all of their salads are great .'],cream cheeses,positive,0,food style_options,huge
['They have a huge selection of different cream cheeses and all of their salads are great .'],cream cheeses,positive,0,food style_options,different
['I loved everythig about it-especially the shows and actors .'],shows,positive,0,ambience general,loved
['I loved everythig about it-especially the shows and actors .'],actors,positive,0,ambience general,loved
['The staff is no nonsense .'],staff,positive,0,service general,no nonsense
['And evaluated on those terms Pastis is simply wonderful .'],Pastis,positive,0,restaurant general,wonderful
['We had the lobster sandwich and it was FANTASTIC .'],lobster sandwich,positive,0,food quality,FANTASTIC
['Beef noodle soup is good as well .'],Beef noodle soup,positive,0,food quality,good
['The lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .'],lobster sandwich,positive,0,food quality,good
['The lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .'],lobster sandwich,negative,0,food prices,not nearly enough to warrant that price
['The price is reasonable although the service is poor .'],service,negative,0,service general,poor
"[""however , it 's the service that leaves a bad taste in my mouth .""]",service,negative,0,service general,bad taste
"['However , go for the ambience , and consider the food just a companion for a trip across the world !']",food,neutral,0,food quality,a companion for a trip across the world 
"[""I really loved the different and inovated touch that 's the cheff gives to the food .""]",cheff,positive,0,food style_options,loved
"[""I really loved the different and inovated touch that 's the cheff gives to the food .""]",cheff,positive,0,food style_options,inovated
"['the pad se ew chicken was delicious , however the pad thai was far too oily .']",pad se ew chicken,positive,0,food quality,delicious
"['the pad se ew chicken was delicious , however the pad thai was far too oily .']",pad thai,negative,0,food quality,oily
['The wine list is extensive and can easily hike up an otherwise reasonably priced meal .'],wine list,positive,0,drinks style_options,extensive
['The wine list is extensive and can easily hike up an otherwise reasonably priced meal .'],meal,positive,0,food prices,reasonably priced
"['Service was very good - prompt , attentive and non-intrusive .']",Service,positive,0,service general,good
"['Service was very good - prompt , attentive and non-intrusive .']",Service,positive,0,service general,prompt
"['Service was very good - prompt , attentive and non-intrusive .']",Service,positive,0,service general,attentive
"['Service was very good - prompt , attentive and non-intrusive .']",Service,positive,0,service general,non-intrusive
"[""The baked clams octopus we shared as appetizers were the best we 've ever had ! !""]",baked clams octopus,positive,0,food quality,best
['I expected quite a bit more from such an expensive menu .'],menu,negative,0,food prices,expensive
['I expected quite a bit more from such an expensive menu .'],menu,negative,0,food quality,expensive
"['Service is not exactly five star , but thats not really a big deal .']",Service,neutral,0,service general,not exactly five star
"['Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .']",Food,positive,0,food quality,good
"['Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .']",raw vegatables in side orders,negative,0,food quality,wondered about freshmess
['By far the best salad I have had in a fast food restaurant .'],salad,positive,0,food quality,best
['We ended our great experience by having Gulab Jamun ( dessert ) recommended by the waiter .'],Gulab Jamun ( dessert ),positive,0,food quality,great
['Wine list selection is good and wine-by-the-glass was generously filled to the top .'],Wine list selection,positive,0,drinks style_options,good
['Wine list selection is good and wine-by-the-glass was generously filled to the top .'],wine-by-the-glass,positive,0,drinks style_options,generously filled
['Good food .'],food,positive,0,food quality,Good
['The tuna and wasabe potatoes are excellent .'],tuna,positive,0,food quality,excellent
['The tuna and wasabe potatoes are excellent .'],wasabe potatoes,positive,0,food quality,excellent
['This place is worth an one-hour drive .'],place,positive,0,restaurant general,worth
['I recieved prompt service with a smile .'],service,positive,0,service general,prompt
"['Rude service , medicore food ... there are tons of restaurants in NY ... stay away from this one']",service,negative,0,service general,Rude
"['Rude service , medicore food ... there are tons of restaurants in NY ... stay away from this one']",food,neutral,0,food quality,medicore
['even the wine by the glass was good .'],wine by the glass,positive,0,drinks quality,good
['Ess-A-Bagel ( either by Sty-town or midtown ) is by far the best bagel in NY .'],bagel,positive,0,food quality,best
['The sangria was pretty tasty and good on a hot muggy day .'],sangria,positive,0,drinks quality,tasty
['The sangria was pretty tasty and good on a hot muggy day .'],sangria,positive,0,drinks quality,good
"[""Authentic Taiwanese food that 's cheap ... what more could you ask for ?""]",Taiwanese food,positive,0,food quality,Authentic
"[""Authentic Taiwanese food that 's cheap ... what more could you ask for ?""]",Taiwanese food,positive,0,food prices,cheap
"['The in-house lady DJ on Saturday nights has outrageously good taste in music , and moreover , takes requests .']",in-house lady DJ,positive,0,ambience general,good taste
['The dining room is quietly elegant with no music to shout over -- how refreshing !'],dining room,positive,0,ambience general,elegant
['The dining room is quietly elegant with no music to shout over -- how refreshing !'],dining room,positive,0,ambience general,refreshing
['This is a wonderful place on all stand points especially value ofr money .'],place,positive,0,restaurant prices,wonderful
['This is a wonderful place on all stand points especially value ofr money .'],place,positive,0,restaurant general,wonderful
"[""This was my frist time at Cafe St. Bart 's and I must say how delicious the food and the service was .""]",food,positive,0,food quality,delicious
"['Food was very good as well , considering that we tried the budget selection ( though I wish the pork belly that I ordered was roasted a bit longer , so that fat was more of a melt-in-your-mouth experience ) .']",Food,positive,0,food quality,good
"['Food was very good as well , considering that we tried the budget selection ( though I wish the pork belly that I ordered was roasted a bit longer , so that fat was more of a melt-in-your-mouth experience ) .']",pork belly,negative,0,food quality,roasted a bit longer
['The wine the service was very good too .'],wine,positive,0,drinks quality,good
['The wine the service was very good too .'],service,positive,0,service general,good
['The only problem is that the manager is a complete incompetent .'],manager,negative,0,service general,incompetent
['Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .'],raddichio,negative,0,food quality,bitter
['The service is awful .'],service,negative,0,service general,awful
['This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .'],ambience,positive,0,ambience general,correct
['This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .'],staff,positive,0,service general,excellent
['Service is not what one would expect from a joint in this price category .'],Service,negative,0,service general,not what one would expect
"['Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .']",place,negative,0,restaurant general,unattractive
"['Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .']",room,negative,0,ambience general,unattractive
"['Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .']",clerks,negative,0,service general,unhelpful
['My friend devoured her chicken and mashed potatos .'],chicken and mashed potatos,positive,0,food quality,devoured
['Although we were looking for regular lettuce and some walnuts the salads we got were great .'],salads,positive,0,food quality,great
['Great bagels made the old-fashioned way .'],bagels,positive,0,food quality,Great
['Great bagels made the old-fashioned way .'],bagels,positive,0,food style_options,Great
"[""It 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .""]",sushi,negative,0,food quality,below average
"[""It 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .""]",tuna,negative,0,food quality,soggy
"[""It 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .""]",rolls,negative,0,food quality,no flavor
['We were seated outside and the waiter spilled red wine and hot tea on myself and my date .'],waiter,negative,0,service general,spilled
['Delivery is fast too .'],Delivery,positive,0,service general,fast
['My friend got the mushroom pizza which tasted better .'],mushroom pizza,positive,0,food quality,better
['Go to Volare for 1st class service and terrific food .'],service,positive,0,service general,1st class
['Go to Volare for 1st class service and terrific food .'],food,positive,0,food quality,terrific
"['I found the food to be outstanding , particulary the salmon dish I had .']",food,positive,0,food quality,outstanding
"['I found the food to be outstanding , particulary the salmon dish I had .']",salmon dish,positive,0,food quality,outstanding
['The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .'],outdoor atmosphere,positive,0,location general,wonderful
"[""If you 've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer .""]",view,positive,0,location general,the top of view the chart house has to offer
['Try the sea bass .'],sea bass,positive,0,food quality,Try
['the waitstaffs are nice though .'],waitstaffs,positive,0,service general,nice
"['The food was not fresh , the sauces were bland and very oily .']",food,negative,0,food quality,not fresh
"['The food was not fresh , the sauces were bland and very oily .']",sauces,negative,0,food quality,bland
"['The food was not fresh , the sauces were bland and very oily .']",sauces,negative,0,food quality,oily
['Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .'],service,positive,0,service general,good
['Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .'],place,positive,0,ambience general,relaxing
"['( The asparagus , truffle oil , parmesan bruschetta is a winner ! )']","asparagus , truffle oil , parmesan bruschetta",positive,0,food quality,winner
['Great pizza and fantastic service .'],pizza,positive,0,food quality,Great
['Great pizza and fantastic service .'],service,positive,0,service general,fantastic
"[""As a Japanese native , I 've lived in the Tristate area for over 8 years , but I was just so amazed at this place .""]",place,positive,0,restaurant general,amazed
['You must try the shrimp appetizers .'],shrimp appetizers,positive,0,food quality,try
"[""I would recommend Roxy 's for that , but not for their food .""]",food,negative,0,food quality,recommend
['The pizza was pretty good and huge .'],pizza,positive,0,food quality,good
['The pizza was pretty good and huge .'],pizza,positive,0,food style_options,huge
['The workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .'],bagel,negative,0,food style_options,messy
['this little place has a cute interior decor and affordable city prices .'],interior decor,positive,0,ambience general,cute
['this little place has a cute interior decor and affordable city prices .'],place,positive,0,restaurant prices,little
"[""I come from a family of pizzeria owners , and I 'm almost ashamed to say that the pizza in Fornino 's blows my families receipies away .""]",pizza,positive,0,food quality,ashamed
"['The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .']",porcini mushroom pasta special,negative,0,food quality,tasteless
"['The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .']",seafood tagliatelle,negative,0,food quality,tasteless
['The food is okay and the prices here are mediocre .'],food,neutral,0,food quality,okay
['The food is great and reasonably priced .'],food,positive,0,food quality,great
['The food is great and reasonably priced .'],food,positive,0,food prices,reasonably priced
['I had the best ravioli ever .'],ravioli,positive,0,food quality,best
['Their pad penang is delicious and everything else is fantastic .'],pad penang,positive,0,food quality,delicious
['Fresh ingredients and everything is made to order .'],ingredients,positive,0,food quality,Fresh
"[""also it 's great to have dinner in a very romantic and comfortable place , the service it 's just perfect ... they 're so frendly that we never want to live the place !""]",place,positive,0,ambience general,romantic
"[""also it 's great to have dinner in a very romantic and comfortable place , the service it 's just perfect ... they 're so frendly that we never want to live the place !""]",place,positive,0,ambience general,comfortable
"[""also it 's great to have dinner in a very romantic and comfortable place , the service it 's just perfect ... they 're so frendly that we never want to live the place !""]",service,positive,0,service general,perfect
"[""The dosas are skimpy , unattractive and drip with grease , and personally I 'd drink popcorn topping before I 'd eat another one of these .""]",dosas,negative,0,food style_options,skimpy
"[""The dosas are skimpy , unattractive and drip with grease , and personally I 'd drink popcorn topping before I 'd eat another one of these .""]",dosas,negative,0,food quality,unattractive
['The bar is very well stocked with interesting beers and well priced wines .'],bar,positive,0,drinks style_options,well stocked
['The bar is very well stocked with interesting beers and well priced wines .'],beers,positive,0,drinks style_options,interesting
['The bar is very well stocked with interesting beers and well priced wines .'],wines,positive,0,drinks prices,well priced
['Very affordable and excellent ambient !'],ambient,positive,0,ambience general,excellent
"[""The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting .""]",mussles,negative,0,food quality,fishiest
"[""The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting .""]",seabass,negative,0,food quality,bland
"[""The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting .""]",goat cheese salad,negative,0,food quality,missing
"[""The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting .""]",penne w/ chicken,negative,0,food quality,disgusting
"['I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .']",sea urchin,positive,0,food quality,heavenly
"['Service was prompt , friendly and great .']",Service,positive,0,service general,prompt
"['Service was prompt , friendly and great .']",Service,positive,0,service general,friendly
"['Service was prompt , friendly and great .']",Service,positive,0,service general,great
"['We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .']",staff,negative,0,service general,rude
['sometimes i get good food and ok service .'],food,positive,0,food quality,good
['sometimes i get good food and ok service .'],service,neutral,0,service general,ok
['Service friendly and attentive .'],Service,positive,0,service general,friendly
['Service friendly and attentive .'],Service,positive,0,service general,attentive
['My fav was the sassy lassi ...'],sassy lassi,positive,0,drinks quality,fav
['This place is always packed .'],place,neutral,0,ambience general,packed
"[""Everytime I decide to try another place on the UES , I get angry that I did n't just go to Zucchero Pomodori .""]",Zucchero Pomodori,positive,0,restaurant general,did n't just go to
"['After dinner the manager grabbed my boyfriend , asked him : Where are you from ... maybe you dont know how things work in America ... and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .']",manager,negative,0,service general,yelling
['The filet mignon dish was superb !'],filet mignon dish,positive,0,food quality,superb
['Service was prompt and courteous .'],Service,positive,0,service general,prompt
['Service was prompt and courteous .'],Service,positive,0,service general,courteous
"[""I 'm still mad that i had to pay for lousy food .""]",food,negative,0,food quality,lousy
['The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great .'],lobster sandwich,positive,0,food quality,good
['The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great .'],spaghetti with Scallops and Shrimp,positive,0,food quality,great
['Patroon features a nice cigar bar and has great staff .'],cigar bar,positive,0,ambience general,nice
['Patroon features a nice cigar bar and has great staff .'],staff,positive,0,service general,great
['There is no excuse for such lousy service !'],service,negative,0,service general,lousy
"['Seriously , this place kicks ass .']",place,positive,0,restaurant general,kicks ass
['The food was absolutely amazing ! !'],food,positive,0,food quality,amazing
['This is an amazing place to try some roti rolls .'],roti rolls,positive,0,food quality,try
"['We love the food , drinks , and atmosphere !']",food,positive,0,food quality,love
"['We love the food , drinks , and atmosphere !']",drinks,positive,0,drinks quality,love
"['We love the food , drinks , and atmosphere !']",atmosphere,positive,0,ambience general,love
['Hats off to the chef .'],chef,positive,0,food quality,Hats off
['This is by far my favorite place in the neighborhood .'],place,positive,0,restaurant general,favorite
['The portions are large and the servers always surprise us with a different starter .'],portions,positive,0,food style_options,large
"[""There is a downside if you 're ordering in -- the delivery guys have MAJOR attitude .""]",delivery guys,negative,0,service general,downside
['This place is the most Japanese it can ever get .'],place,positive,0,restaurant miscellaneous,Japanese
['Waitstaff are very friendly .'],Waitstaff,positive,0,service general,friendly
['I have to say I have never had a disapointing meal here .'],meal,positive,0,food quality,never had a disapointing
"['The service was attentive , yet discreet .']",service,positive,0,service general,attentive
"['The service was attentive , yet discreet .']",service,positive,0,service general,discreet
"['The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no ...']",waitress,negative,0,service general,sitting on the toilet
"['And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3-6 each ) .']",congee,positive,0,food prices,no more than $ 3-6 each
"['And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3-6 each ) .']",noodles,positive,0,food prices,no more than $ 3-6 each
"['And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3-6 each ) .']",rice dishes,positive,0,food prices,no more than $ 3-6 each
['Make sure you have the Spicy Scallop roll ...'],Spicy Scallop roll,positive,0,food quality,Make sure
"[""However , if you want great food at a great price and do n't mind the decor , you ca n't beat this place .""]",food,positive,0,food quality,great
"[""However , if you want great food at a great price and do n't mind the decor , you ca n't beat this place .""]",food,positive,0,food prices,great
"['During the course of the past 3 months , the chef and staff changed and it was not for the better .']",chef,negative,0,food quality,changed
"['During the course of the past 3 months , the chef and staff changed and it was not for the better .']",staff,negative,0,service general,changed
"[""The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n't like .""]",food,negative,0,food prices,pricey
"[""The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n't like .""]",prixe fixe tasting menu,positive,0,food quality,greatest
"[""The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n't like .""]",prixe fixe tasting menu,positive,0,food prices,greatest
"['i happen to have a policy that goes along with a little bit of self-respect , which includes not letting a waiter intimidate me , i.e . make me feel bad asking for trivialities like water , or the check .']",waiter,negative,0,service general,bad
['I got an excellent piece of cheesecake and we had several other nice pastries .'],cheesecake,positive,0,food quality,excellent
['I got an excellent piece of cheesecake and we had several other nice pastries .'],pastries,positive,0,food quality,nice
['The service was friendly and the atmosphere was casual .'],service,positive,0,service general,friendly
['The service was friendly and the atmosphere was casual .'],atmosphere,neutral,0,ambience general,casual
['Definitely a great spot for a nice occasion or date .'],spot,positive,0,restaurant miscellaneous,great
['Staff is very accomodating .'],Staff,positive,0,service general,accomodating
['I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere !'],manager,negative,0,service general,take my business elsewhere
"[""Rao 's has the best service and atmosphere in NYC .""]",service,positive,0,service general,best
"[""Rao 's has the best service and atmosphere in NYC .""]",atmosphere,positive,0,ambience general,best
"[""Consequently , their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them .""]",burgers,negative,0,food style_options,fell apart
['The seats are uncomfortable if you are sitting against the wall on wooden benches .'],seats,negative,0,ambience general,uncomfortable
['The food was delicious but do not come here on a empty stomach .'],food,positive,0,food quality,delicious
"['Try the congee and the donut like deep fried dough they call Ow Ley Soh , a delicious and sweet tasting bread .']",congee,positive,0,food quality,Try
"['Try the congee and the donut like deep fried dough they call Ow Ley Soh , a delicious and sweet tasting bread .']",Ow Ley Soh,positive,0,food quality,delicious
"['Try the congee and the donut like deep fried dough they call Ow Ley Soh , a delicious and sweet tasting bread .']",Ow Ley Soh,positive,0,food quality,sweet
['I lOVE THIS PLACE !'],PLACE,positive,0,restaurant general,lOVE
"[""Volare virgins or weekly regulars , everyone gets treated the same and you ca n't ask for more than that when the service is this friendly .""]",service,positive,0,service general,friendly
['I absolutely Loved this place .'],place,positive,0,restaurant general,Loved
['Saul is the best restaurant on Smith Street and in Brooklyn .'],Saul,positive,0,restaurant general,best
['Fish was overdone .'],Fish,negative,0,food quality,overdone
"[""Excellent spot for holiday get togethers with co-workers or friends that you have n't seen in a while .""]",spot,positive,0,restaurant miscellaneous,Excellent
"[""I have tried to make reservations , but both times , the hostess did n't have my name .""]",hostess,negative,0,service general,did n't have my name
"['I also ordered the Change Mojito , which was out of this world .']",Change Mojito,positive,0,drinks quality,out of this world
"[""We ate out in the back patio , which is worth it as it 's cool and the music is hear well there .""]",back patio,positive,0,ambience general,worth
"[""We ate out in the back patio , which is worth it as it 's cool and the music is hear well there .""]",back patio,positive,0,ambience general,cool
"[""We ate out in the back patio , which is worth it as it 's cool and the music is hear well there .""]",music,positive,0,ambience general,well
"[""I 've lived in NY for 5 years and this place has it all .""]",place,positive,0,restaurant general,has it all
['The Yellowtail was particularly good as well .'],Yellowtail,positive,0,food quality,good
['The drinks are always welll made and wine selection is fairly priced .'],drinks,positive,0,drinks quality,welll made
['The drinks are always welll made and wine selection is fairly priced .'],wine selection,positive,0,drinks prices,fairly priced
['Ingredients are organic which is a real plus for me .'],Ingredients,positive,0,food quality,organic
['Ingredients are organic which is a real plus for me .'],Ingredients,positive,0,food quality,plus
['Dessert is a joke ... dont bother'],Dessert,negative,0,food quality,joke
['Cheese plate is a varied delight and great bargain at $ 10 .'],Cheese plate,positive,0,food quality,varied delight
['Cheese plate is a varied delight and great bargain at $ 10 .'],Cheese plate,positive,0,food style_options,varied delight
['Cheese plate is a varied delight and great bargain at $ 10 .'],Cheese plate,positive,0,food prices,great bargain
"[""The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she 's-way-cuter-than-me-that-b @ # $ * way ) .""]",wait staff,positive,0,service general,pleasant
"[""The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she 's-way-cuter-than-me-that-b @ # $ * way ) .""]",wait staff,positive,0,service general,fun
"[""The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she 's-way-cuter-than-me-that-b @ # $ * way ) .""]",wait staff,positive,0,service general,gorgeous
"['Great service , great food .']",service,positive,0,service general,Great
"['Great service , great food .']",food,positive,0,food quality,great
"['We concluded with tiramisu chocolate cake , both were delicious .']",tiramisu chocolate cake,positive,0,food quality,delicious
"['We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .']",sushi,positive,0,food quality,particular
"['We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .']",ceviche mix ( special ),positive,0,food quality,please
"['We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .']",crab dumplings,positive,0,food quality,please
"['We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .']",assorted sashimi,positive,0,food quality,please
"['We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .']",sushi,positive,0,food quality,particular
"['We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .']",rolls,positive,0,food quality,please
"['We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .']",two types of sake,positive,0,drinks quality,please
"['We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .']",banana tempura,positive,0,food quality,please
"[""It 's a small cute restaurant .""]",restaurant,positive,0,restaurant general,small cute
['The staff offers impeccable service .'],staff,positive,0,service general,impeccable
"[""Drawbacks : service is slow and they do n't toast !""]",service,negative,0,service general,slow
['THe Pizza and wine were excellent -- the service too -- but what really MADE this place was the backyard dining area .'],Pizza,positive,0,food quality,excellent
['THe Pizza and wine were excellent -- the service too -- but what really MADE this place was the backyard dining area .'],wine,positive,0,drinks quality,excellent
['THe Pizza and wine were excellent -- the service too -- but what really MADE this place was the backyard dining area .'],service,positive,0,service general,excellent
"[""The wait staff is very freindly , they make it feel like you 're eating in a freindly little european town .""]",wait staff,positive,0,service general,freindly
['They have authentic Indian at amazin prices .'],Indian,positive,0,food quality,authentic
['They have authentic Indian at amazin prices .'],Indian,positive,0,food prices,authentic
"[""You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .""]",martini,positive,0,drinks quality,delish
"[""You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .""]",martini,positive,0,drinks style_options,delish
"[""You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .""]",martini,positive,0,drinks prices,delish
"[""You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .""]",Vanilla Shanty,positive,0,drinks quality,recommend
"[""You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .""]",setting,positive,0,ambience general,homey
"[""You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .""]",music,positive,0,ambience general,great
"['Judging from previous posts this used to be a good place , but not any longer .']",place,negative,0,restaurant general,used to be a good
"['Even though its good seafood , the prices are too high .']",seafood,positive,0,food quality,good
['Worth visiting the 1st Ave spot because it is the original store .'],1st Ave spot,positive,0,restaurant miscellaneous,Worth visiting
['( Always ask the bartender for the SEASONAL beer ! ! !'],SEASONAL beer,positive,0,drinks quality,Always ask
['Salads were fantastic .'],Salads,positive,0,food quality,fantastic
"['Always a nice crowd , but never loud .']",crowd,positive,0,restaurant miscellaneous,nice
"['The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .']",bruschettas,positive,0,food style_options,large selection
"['The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .']",paninis,positive,0,food style_options,large selection
